Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Wed Nov 22 2023,8:00p,Sacramento Kings,,New Orleans Pelicans,
Wed Nov 22 2023,8:00p,Chicago Bulls,,Oklahoma City Thunder,
Wed Nov 22 2023,8:00p,Los Angeles Clippers,,San Antonio Spurs,
Wed Nov 22 2023,10:00p,Golden State Warriors,,Phoenix Suns,
Wed Nov 22 2023,10:00p,Utah Jazz,,Portland Trail Blazers,
Wed Nov 22 2023,10:30p,Dallas Mavericks,,Los Angeles Lakers,
Fri Nov 24 2023,2:30p,Boston Celtics,,Orlando Magic,
Fri Nov 24 2023,5:00p,Phoenix Suns,,Memphis Grizzlies,
Fri Nov 24 2023,7:30p,Miami Heat,,New York Knicks,
Fri Nov 24 2023,7:30p,Chicago Bulls,,Toronto Raptors,
Fri Nov 24 2023,8:00p,Denver Nuggets,,Houston Rockets,
Fri Nov 24 2023,8:00p,Detroit Pistons,,Indiana Pacers,
Fri Nov 24 2023,8:00p,Washington Wizards,,Milwaukee Bucks,
Fri Nov 24 2023,8:00p,Sacramento Kings,,Minnesota Timberwolves,
Fri Nov 24 2023,10:00p,San Antonio Spurs,,Golden State Warriors,
Fri Nov 24 2023,10:30p,New Orleans Pelicans,,Los Angeles Clippers,
Sat Nov 25 2023,5:00p,Philadelphia 76ers,,Oklahoma City Thunder,
Sat Nov 25 2023,6:00p,Miami Heat,,Brooklyn Nets,
Sat Nov 25 2023,7:00p,Atlanta Hawks,,Washington Wizards,
Sat Nov 25 2023,7:30p,Los Angeles Lakers,,Cleveland Cavaliers,
Sat Nov 25 2023,9:30p,New Orleans Pelicans,,Utah Jazz,
Sat Nov 25 2023,10:30p,Dallas Mavericks,,Los Angeles Clippers,
Sun Nov 26 2023,3:30p,Portland Trail Blazers,,Milwaukee Bucks,
Sun Nov 26 2023,6:00p,Atlanta Hawks,,Boston Celtics,
Sun Nov 26 2023,6:00p,Minnesota Timberwolves,,Memphis Grizzlies,
Sun Nov 26 2023,6:00p,Phoenix Suns,,New York Knicks,
Sun Nov 26 2023,6:00p,Charlotte Hornets,,Orlando Magic,
Sun Nov 26 2023,7:30p,Chicago Bulls,,Brooklyn Nets,
Sun Nov 26 2023,7:30p,Toronto Raptors,,Cleveland Cavaliers,
Sun Nov 26 2023,8:00p,San Antonio Spurs,,Denver Nuggets,
Mon Nov 27 2023,7:00p,Washington Wizards,,Detroit Pistons,
Mon Nov 27 2023,7:00p,Portland Trail Blazers,,Indiana Pacers,
Mon Nov 27 2023,7:00p,Los Angeles Lakers,,Philadelphia 76ers,
Mon Nov 27 2023,9:00p,New Orleans Pelicans,,Utah Jazz,
Mon Nov 27 2023,10:30p,Denver Nuggets,,Los Angeles Clippers,
Tue Nov 28 2023,7:30p,Chicago Bulls,,Boston Celtics,
Tue Nov 28 2023,7:30p,Toronto Raptors,,Brooklyn Nets,
Tue Nov 28 2023,7:30p,Atlanta Hawks,,Cleveland Cavaliers,
Tue Nov 28 2023,7:30p,Milwaukee Bucks,,Miami Heat,
Tue Nov 28 2023,7:30p,Charlotte Hornets,,New York Knicks,
Tue Nov 28 2023,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,
Tue Nov 28 2023,8:30p,Houston Rockets,,Dallas Mavericks,
Tue Nov 28 2023,10:00p,Golden State Warriors,,Sacramento Kings,
Wed Nov 29 2023,7:00p,Los Angeles Lakers,,Detroit Pistons,
Wed Nov 29 2023,7:00p,Washington Wizards,,Orlando Magic,
Wed Nov 29 2023,7:30p,Phoenix Suns,,Toronto Raptors,
Wed Nov 29 2023,8:00p,Utah Jazz,,Memphis Grizzlies,
Wed Nov 29 2023,8:00p,Philadelphia 76ers,,New Orleans Pelicans,
Wed Nov 29 2023,9:00p,Houston Rockets,,Denver Nuggets,
Wed Nov 29 2023,10:00p,Los Angeles Clippers,,Sacramento Kings,
Thu Nov 30 2023,7:00p,Portland Trail Blazers,,Cleveland Cavaliers,
Thu Nov 30 2023,7:30p,Charlotte Hornets,,Brooklyn Nets,
Thu Nov 30 2023,7:30p,Indiana Pacers,,Miami Heat,
Thu Nov 30 2023,7:30p,Detroit Pistons,,New York Knicks,
Thu Nov 30 2023,8:00p,Milwaukee Bucks,,Chicago Bulls,
Thu Nov 30 2023,8:00p,Utah Jazz,,Minnesota Timberwolves,
Thu Nov 30 2023,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,
Thu Nov 30 2023,8:00p,Atlanta Hawks,,San Antonio Spurs,
Thu Nov 30 2023,10:00p,Los Angeles Clippers,,Golden State Warriors,
Fri Dec 1 2023,7:00p,Washington Wizards,,Orlando Magic,
Fri Dec 1 2023,7:30p,Philadelphia 76ers,,Boston Celtics,
Fri Dec 1 2023,7:30p,Memphis Grizzlies,,Dallas Mavericks,
Fri Dec 1 2023,7:30p,New York Knicks,,Toronto Raptors,
Fri Dec 1 2023,8:00p,San Antonio Spurs,,New Orleans Pelicans,
Fri Dec 1 2023,10:00p,Denver Nuggets,,Phoenix Suns,
Sat Dec 2 2023,4:00p,Golden State Warriors,,Los Angeles Clippers,
Sat Dec 2 2023,5:00p,Minnesota Timberwolves,,Charlotte Hornets,
Sat Dec 2 2023,7:00p,Orlando Magic,,Brooklyn Nets,
Sat Dec 2 2023,7:00p,Cleveland Cavaliers,,Detroit Pistons,
Sat Dec 2 2023,8:00p,New Orleans Pelicans,,Chicago Bulls,
Sat Dec 2 2023,8:00p,Indiana Pacers,,Miami Heat,
Sat Dec 2 2023,8:00p,Atlanta Hawks,,Milwaukee Bucks,
Sat Dec 2 2023,9:00p,Oklahoma City Thunder,,Dallas Mavericks,
Sat Dec 2 2023,9:00p,Memphis Grizzlies,,Phoenix Suns,
Sat Dec 2 2023,9:30p,Portland Trail Blazers,,Utah Jazz,
Sat Dec 2 2023,10:00p,Denver Nuggets,,Sacramento Kings,
Sat Dec 2 2023,10:30p,Houston Rockets,,Los Angeles Lakers,
Mon Dec 11 2023,7:00p,Miami Heat,,Charlotte Hornets,
Mon Dec 11 2023,7:00p,Indiana Pacers,,Detroit Pistons,
Mon Dec 11 2023,7:00p,Cleveland Cavaliers,,Orlando Magic,
Mon Dec 11 2023,7:00p,Washington Wizards,,Philadelphia 76ers,
Mon Dec 11 2023,7:30p,Denver Nuggets,,Atlanta Hawks,
Mon Dec 11 2023,7:30p,Toronto Raptors,,New York Knicks,
Mon Dec 11 2023,8:00p,San Antonio Spurs,,Houston Rockets,
Mon Dec 11 2023,8:00p,Dallas Mavericks,,Memphis Grizzlies,
Mon Dec 11 2023,8:00p,Chicago Bulls,,Milwaukee Bucks,
Mon Dec 11 2023,8:00p,Minnesota Timberwolves,,New Orleans Pelicans,
Mon Dec 11 2023,8:00p,Utah Jazz,,Oklahoma City Thunder,
Mon Dec 11 2023,10:00p,Brooklyn Nets,,Sacramento Kings,
Mon Dec 11 2023,10:30p,Portland Trail Blazers,,Los Angeles Clippers,
Tue Dec 12 2023,7:30p,Cleveland Cavaliers,,Boston Celtics,
Tue Dec 12 2023,7:30p,Los Angeles Lakers,,Dallas Mavericks,
Tue Dec 12 2023,8:00p,Denver Nuggets,,Chicago Bulls,
Tue Dec 12 2023,10:00p,Golden State Warriors,,Phoenix Suns,
Tue Dec 12 2023,10:30p,Sacramento Kings,,Los Angeles Clippers,
Wed Dec 13 2023,7:00p,Philadelphia 76ers,,Detroit Pistons,
Wed Dec 13 2023,7:00p,New Orleans Pelicans,,Washington Wizards,
Wed Dec 13 2023,7:30p,Charlotte Hornets,,Miami Heat,
Wed Dec 13 2023,7:30p,Atlanta Hawks,,Toronto Raptors,
Wed Dec 13 2023,8:00p,Memphis Grizzlies,,Houston Rockets,
Wed Dec 13 2023,8:00p,Indiana Pacers,,Milwaukee Bucks,
Wed Dec 13 2023,8:00p,Los Angeles Lakers,,San Antonio Spurs,
Wed Dec 13 2023,9:00p,Brooklyn Nets,,Phoenix Suns,
Wed Dec 13 2023,9:00p,New York Knicks,,Utah Jazz,
Thu Dec 14 2023,7:30p,Cleveland Cavaliers,,Boston Celtics,
Thu Dec 14 2023,7:30p,Chicago Bulls,,Miami Heat,
Thu Dec 14 2023,8:30p,Minnesota Timberwolves,,Dallas Mavericks,
Thu Dec 14 2023,9:00p,Brooklyn Nets,,Denver Nuggets,
Thu Dec 14 2023,10:00p,Utah Jazz,,Portland Trail Blazers,
Thu Dec 14 2023,10:00p,Oklahoma City Thunder,,Sacramento Kings,
Thu Dec 14 2023,10:30p,Golden State Warriors,,Los Angeles Clippers,
Fri Dec 15 2023,7:00p,New Orleans Pelicans,,Charlotte Hornets,
Fri Dec 15 2023,7:00p,Detroit Pistons,,Philadelphia 76ers,
Fri Dec 15 2023,7:00p,Indiana Pacers,,Washington Wizards,
Fri Dec 15 2023,7:30p,Orlando Magic,,Boston Celtics,
Fri Dec 15 2023,7:30p,Los Angeles Lakers,,San Antonio Spurs,
Fri Dec 15 2023,7:30p,Atlanta Hawks,,Toronto Raptors,
Fri Dec 15 2023,8:00p,Houston Rockets,,Memphis Grizzlies,
Fri Dec 15 2023,10:00p,New York Knicks,,Phoenix Suns,
Sat Dec 16 2023,6:00p,Detroit Pistons,,Milwaukee Bucks,
Sat Dec 16 2023,7:00p,Philadelphia 76ers,,Charlotte Hornets,
Sat Dec 16 2023,7:30p,Atlanta Hawks,,Cleveland Cavaliers,
Sat Dec 16 2023,8:00p,Chicago Bulls,,Miami Heat,
Sat Dec 16 2023,8:00p,Indiana Pacers,,Minnesota Timberwolves,
Sat Dec 16 2023,8:30p,Brooklyn Nets,,Golden State Warriors,
Sat Dec 16 2023,9:00p,Oklahoma City Thunder,,Denver Nuggets,
Sat Dec 16 2023,9:00p,Dallas Mavericks,,Portland Trail Blazers,
Sat Dec 16 2023,10:00p,Utah Jazz,,Sacramento Kings,
Sat Dec 16 2023,10:30p,New York Knicks,,Los Angeles Clippers,
Sun Dec 17 2023,3:00p,Orlando Magic,,Boston Celtics,
Sun Dec 17 2023,3:30p,New Orleans Pelicans,,San Antonio Spurs,
Sun Dec 17 2023,7:00p,Houston Rockets,,Milwaukee Bucks,
Sun Dec 17 2023,8:00p,Washington Wizards,,Phoenix Suns,
Sun Dec 17 2023,9:00p,Golden State Warriors,,Portland Trail Blazers,
Mon Dec 18 2023,7:00p,Houston Rockets,,Cleveland Cavaliers,
Mon Dec 18 2023,7:00p,Los Angeles Clippers,,Indiana Pacers,
Mon Dec 18 2023,7:00p,Chicago Bulls,,Philadelphia 76ers,
Mon Dec 18 2023,7:30p,Detroit Pistons,,Atlanta Hawks,
Mon Dec 18 2023,7:30p,Minnesota Timberwolves,,Miami Heat,
Mon Dec 18 2023,7:30p,Charlotte Hornets,,Toronto Raptors,
Mon Dec 18 2023,8:00p,Memphis Grizzlies,,Oklahoma City Thunder,
Mon Dec 18 2023,9:00p,Dallas Mavericks,,Denver Nuggets,
