,Date,Home,Away,Win Percent Diff,WP vs. A Diff,Points Diff,TO Diff,Result
135,2023-11-12,LA Clippers,Memphis Grizzlies,0.2638888888888889,0.0,6.375,1.0972222222222214,0
136,2023-11-12,Philadelphia 76ers,Indiana Pacers,0.20833333333333337,0.0,-7.375,0.5694444444444446,1
137,2023-11-12,Brooklyn Nets,Washington Wizards,0.19444444444444442,0.0,-4.555555555555557,-2.375,1
138,2023-11-12,San Antonio Spurs,Miami Heat,-0.22222222222222227,0.0,4.444444444444443,0.44444444444444287,0
139,2023-11-12,Los Angeles Lakers,Portland Trail Blazers,0.06944444444444442,0.0,4.444444444444443,-1.958333333333334,1
140,2023-11-12,New York Knicks,Charlotte Hornets,0.125,0.0,-10.125,-1.25,1
141,2023-11-12,Phoenix Suns,Oklahoma City Thunder,-0.18055555555555558,0.0,-2.569444444444443,0.9722222222222214,0
142,2023-11-12,Golden State Warriors,Minnesota Timberwolves,-0.08333333333333337,0.0,3.180555555555557,-0.08333333333333393,0
143,2023-11-13,Toronto Raptors,Washington Wizards,0.2222222222222222,0.0,-8.333333333333343,0.0,1
144,2023-11-13,Boston Celtics,New York Knicks,0.2222222222222222,1.0,10.666666666666671,0.33333333333333215,1
145,2023-11-13,Sacramento Kings,Cleveland Cavaliers,0.05555555555555558,0.0,1.4583333333333286,0.18055555555555536,1
146,2023-11-13,Milwaukee Bucks,Chicago Bulls,0.15555555555555556,0.0,5.766666666666666,3.344444444444445,1
147,2023-11-14,Utah Jazz,Portland Trail Blazers,-0.033333333333333326,0.0,7.455555555555563,2.344444444444443,1
148,2023-11-14,Detroit Pistons,Atlanta Hawks,-0.37373737373737376,0.0,-10.606060606060595,1.525252525252526,0
149,2023-11-14,Charlotte Hornets,Miami Heat,-0.26666666666666666,0.0,6.611111111111114,0.07777777777777928,0
150,2023-11-14,Brooklyn Nets,Orlando Magic,-0.05555555555555558,0.0,3.0888888888888886,-2.844444444444445,1
151,2023-11-14,Los Angeles Lakers,Memphis Grizzlies,0.3,0.0,2.4000000000000057,-1.700000000000001,1
152,2023-11-14,Golden State Warriors,Minnesota Timberwolves,-0.1777777777777778,-1.0,2.2222222222222285,-0.06666666666666643,0
153,2023-11-14,Oklahoma City Thunder,San Antonio Spurs,0.3,0.0,2.9000000000000057,-1.4000000000000004,1
154,2023-11-14,Philadelphia 76ers,Indiana Pacers,0.28888888888888886,1.0,-5.333333333333329,0.5888888888888886,0
155,2023-11-14,Denver Nuggets,LA Clippers,0.46666666666666673,0.0,1.0222222222222257,-3.466666666666667,1
156,2023-11-14,New Orleans Pelicans,Dallas Mavericks,-0.4,-1.0,-15.0,2.5,1
157,2023-11-15,Phoenix Suns,Minnesota Timberwolves,-0.46666666666666673,0.0,0.32222222222222285,0.7888888888888896,1
158,2023-11-15,Atlanta Hawks,New York Knicks,0.09999999999999998,-1.0,12.5,3.0999999999999996,0
159,2023-11-15,Los Angeles Lakers,Sacramento Kings,-0.010101010101010166,-1.0,-0.3535353535353494,0.41414141414141525,0
160,2023-11-15,Chicago Bulls,Orlando Magic,-0.13636363636363635,0.0,0.318181818181813,-4.663636363636364,0
161,2023-11-15,Philadelphia 76ers,Boston Celtics,0.0,1.0,1.6000000000000085,0.6999999999999993,0
162,2023-11-15,Toronto Raptors,Milwaukee Bucks,-0.09999999999999998,1.0,-7.700000000000003,-0.1999999999999993,0
163,2023-11-15,Portland Trail Blazers,Cleveland Cavaliers,-0.10000000000000003,0.0,-5.0,2.5,0
164,2023-11-15,Washington Wizards,Dallas Mavericks,-0.5272727272727273,0.0,-7.518181818181816,2.4454545454545453,0
165,2023-11-16,Golden State Warriors,Oklahoma City Thunder,-0.09090909090909094,1.0,-2.818181818181813,0.9090909090909083,0
166,2023-11-16,Miami Heat,Brooklyn Nets,0.09090909090909094,-1.0,-4.545454545454547,0.2727272727272734,1
167,2023-11-17,Charlotte Hornets,Milwaukee Bucks,-0.33636363636363636,0.0,-2.0,-0.16363636363636402,0
168,2023-11-17,Washington Wizards,New York Knicks,-0.3636363636363636,0.0,6.36363636363636,2.3636363636363633,0
169,2023-11-17,LA Clippers,Houston Rockets,-0.36666666666666664,0.0,2.200000000000003,2.877777777777778,1
170,2023-11-17,Atlanta Hawks,Philadelphia 76ers,-0.18181818181818188,0.0,0.36363636363635976,2.1818181818181817,0
171,2023-11-17,Toronto Raptors,Boston Celtics,-0.3636363636363637,-1.0,-10.818181818181813,2.0909090909090917,0
172,2023-11-17,Portland Trail Blazers,Los Angeles Lakers,-0.2272727272727273,-1.0,-8.106060606060595,0.9469696969696972,0
173,2023-11-17,New Orleans Pelicans,Denver Nuggets,-0.3636363636363637,-1.0,-3.3636363636363598,1.6363636363636367,1
174,2023-11-17,Chicago Bulls,Orlando Magic,-0.2121212121212121,-1.0,0.22727272727273373,-3.757575757575758,0
175,2023-11-17,Cleveland Cavaliers,Detroit Pistons,0.28787878787878785,0.0,-0.03787878787878185,-3.121212121212123,1
176,2023-11-17,Utah Jazz,Phoenix Suns,-0.036363636363636376,-1.0,-0.29999999999999716,2.163636363636364,0
177,2023-11-17,San Antonio Spurs,Sacramento Kings,-0.32727272727272727,0.0,-3.963636363636354,2.781818181818183,0
178,2023-11-18,Charlotte Hornets,New York Knicks,-0.31060606060606066,-1.0,3.5454545454545467,1.916666666666666,0
179,2023-11-18,Milwaukee Bucks,Dallas Mavericks,-0.08333333333333337,0.0,-5.333333333333343,2.0,1
180,2023-11-18,Chicago Bulls,Miami Heat,-0.3589743589743589,0.0,-3.051282051282058,-1.0576923076923084,1
181,2023-11-18,Golden State Warriors,Oklahoma City Thunder,-0.16666666666666663,0.0,-4.166666666666671,1.1666666666666679,0
182,2023-11-18,New Orleans Pelicans,Minnesota Timberwolves,-0.2272727272727273,-1.0,-0.7651515151515156,-0.6893939393939394,0
183,2023-11-18,San Antonio Spurs,Memphis Grizzlies,0.06818181818181818,0.0,2.962121212121218,1.7196969696969688,0
184,2023-11-19,Cleveland Cavaliers,Denver Nuggets,-0.25,0.0,-3.75,1.0,1
185,2023-11-19,Memphis Grizzlies,Boston Celtics,-0.5833333333333334,0.0,-9.0,2.166666666666666,0
186,2023-11-19,Portland Trail Blazers,Oklahoma City Thunder,-0.4423076923076923,0.0,-14.544871794871796,1.967948717948719,0
187,2023-11-19,Dallas Mavericks,Sacramento Kings,0.05594405594405594,0.0,7.6293706293706265,-1.1328671328671334,0
